time,ir
26925,112901
26944,112880
26964,112893
26984,112919
27004,112872
27025,112865
27044,112820
27065,112809
27084,112817
27105,112826
27125,112838
27146,112860
27166,112852
27186,112843
27206,112846
27226,112839
27246,112826
27266,112833
27286,112862
27305,112901
27326,112912
27345,112915
27367,112899
27387,112913
27407,112915
27427,112882
27447,112870
27467,112871
27487,112901
27507,112917
27527,112932
27547,112896
27567,112897
27587,112920
27609,112920
27628,112895
27649,112883
27668,112869
27688,112892
27708,112905
27728,112908
27749,112888
27768,112875
27789,112891
27808,112866
27829,112844
27848,112817
27870,112839
27890,112892
27910,112917
27930,112897
27950,112887
27970,112892
27990,112887
28010,112849
28029,112857
28050,112847
28069,112849
28090,112900
28111,112908
28131,112901
28151,112902
28171,112902
28191,112901
28211,112891
28231,112888
28251,112882
28271,112897
28291,112871
28311,112886
28332,112889
28352,112888
28372,112868
28392,112853
28412,112839
28433,112820
28452,112832
28473,112874
28492,112871
28513,112895
28532,112912
28553,112902
28572,112902
28593,112884
28614,112876
28634,112834
28654,112831
28674,112831
28694,112853
28713,112871
28734,112853
28753,112842
28774,112850
28793,112843
28814,112849
28833,112841
28855,112828
28875,112825
28895,112842
28915,112850
28935,112849
28955,112838
28975,112818
28995,112791
29015,112784
29035,112792
29054,112794
29075,112797
29096,112829
29116,112876
29136,112857
29156,112872
29176,112862
29197,112850
29216,112858
29237,112845
29256,112821
29277,112843
29296,112873
29317,112907
29338,112909
29358,112903
29378,112922
29398,112898
29418,112877
29437,112895
29458,112893
29477,112899
29498,112930
29517,112934
29538,112915
29557,112913
29579,112888
29599,112860
29619,112849
29639,112844
29659,112864
29679,112873
29699,112911
29719,112905
29739,112921
29759,112907
29779,112873
29799,112872
29820,112859
29840,112848
29860,112849
29880,112872
29900,112899
29921,112915
29940,112916
29961,112914
29980,112924
30001,112895
30020,112899
30041,112871
30060,112884
30082,112899
30102,112936
30121,112940
30142,112943
30161,112931
30182,112935
30201,112918
30222,112874
30241,112851
30262,112826
30281,112834
30302,112860
30322,112861
30343,112866
30363,112839
30383,112856
30403,112878
30424,112846
30443,112840
30464,112824
30483,112819
30503,112837
30523,112826
30543,112839
30563,112868
30584,112871
30605,112871
30624,112864
30645,112823
30664,112834
30685,112825
30704,112819
30725,112852
30744,112867
30765,112861
30784,112847
30804,112854
30824,112821
30845,112815
30866,112791
30885,112765
30906,112768
30925,112783
30946,112833
30965,112862
30986,112839
31006,112859
31026,112876
31046,112876
31066,112851
31087,112875
31108,112833
31127,112846
31148,112842
31167,112844
31187,112850
31207,112857
31227,112840
31247,112841
31267,112828
31287,112861
31307,112856
31329,112856
31348,112875
31369,112891
31388,112907
31409,112895
31428,112904
31449,112898
31468,112868
31489,112856
31508,112825
31528,112811
31548,112818
31568,112796
31590,112820
31609,112846
31630,112864
31649,112865
31670,112868
31689,112858
31710,112859
31730,112855
31750,112835
31770,112820
31790,112802
31810,112785
31832,112778
31851,112793
31872,112790
31891,112820
31911,112841
31931,112831
31951,112846
31971,112861
31991,112881
32011,112890
32031,112879
32051,112947
32072,112951
32093,113018
32112,113158
32133,113146
32152,113031
32173,112924
32192,112891
32212,113008
32232,113168
32252,113255
32272,113283
32292,113270
32314,113438
32333,113647
32354,113763
32373,113939
32394,114136
32413,114142
32434,114197
32454,114056
32474,113913
32494,113811
32514,113673
32534,113613
32555,113590
32575,113391
32595,113103
32615,112614
32635,111887
32655,110919
32675,109410
32695,107270
32715,104526
32735,102137
32755,99529
32775,96876
32796,94962
32817,93225
32836,93136
32856,94510
32876,95898
32896,96461
32916,96413
32935,95700
32957,93943
32977,88701
32997,82041
33017,80653
33037,82281
33057,83632
33077,83656
33097,81993
33118,80178
33138,81455
33158,81329
33178,81112
33198,81742
33218,82332
33238,82374
33258,82374
33278,82645
33299,82293
33318,80189
33339,80691
33358,85252
33379,89725
33398,91536
33419,91176
33439,89637
33460,86184
33479,82994
33500,80051
33519,78878
33540,79619
33559,80797
33580,81466
33601,81609
